Time (ms),-100 pA,50 pA,75 pA,100 pA
125.37462537462537,-98.126220703125,-79.8980712890625,-75.0946044921875,-70.135498046875
125.40792540792539,-98.1597900390625,-79.8797607421875,-75.06103515625,-70.159912109375
125.44122544122543,-98.20556640625,-79.864501953125,-75.079345703125,-70.068359375
125.47452547452546,-98.1842041015625,-79.84619140625,-75.1129150390625,-70.0469970703125
125.5078255078255,-98.138427734375,-79.8736572265625,-75.0396728515625,-70.08056640625
125.54112554112552,-98.1231689453125,-79.8828125,-75.03662109375,-70.111083984375
125.57442557442556,-98.089599609375,-79.8553466796875,-75.0244140625,-69.9981689453125
125.6077256077256,-98.13232421875,-79.8370361328125,-75.048828125,-70.001220703125
125.64102564102562,-98.1201171875,-79.840087890625,-75.0274658203125,-70.0164794921875
125.67432567432566,-98.187255859375,-79.8614501953125,-74.9755859375,-70.037841796875
125.7076257076257,-98.175048828125,-79.8370361328125,-75.042724609375,-69.9920654296875
125.74092574092573,-98.1658935546875,-79.815673828125,-75.0335693359375,-69.976806640625
125.77422577422576,-98.138427734375,-79.815673828125,-75.006103515625,-70.0103759765625
125.80752580752579,-98.1353759765625,-79.8431396484375,-74.9603271484375,-69.915771484375
125.84082584082583,-98.1658935546875,-79.840087890625,-75.0274658203125,-69.9005126953125
125.87412587412587,-98.14453125,-79.7698974609375,-74.9908447265625,-69.90966796875
125.90742590742589,-98.2086181640625,-79.864501953125,-74.91455078125,-69.8974609375
125.94072594072593,-98.22998046875,-79.8736572265625,-74.9359130859375,-69.82421875
125.97402597402596,-98.2391357421875,-79.815673828125,-74.96337890625,-69.8394775390625
126.007326007326,-98.20556640625,-79.7760009765625,-74.932861328125,-69.8760986328125
126.04062604062602,-98.18115234375,-79.8065185546875,-74.86572265625,-69.8089599609375
126.07392607392606,-98.126220703125,-79.766845703125,-74.8992919921875,-69.7906494140625
126.1072261072261,-98.0865478515625,-79.7607421875,-74.8931884765625,-69.8211669921875
126.14052614052613,-98.1536865234375,-79.7576904296875,-74.8291015625,-69.8455810546875
126.17382617382616,-98.175048828125,-79.833984375,-74.8443603515625,-69.7509765625
126.2071262071262,-98.2666015625,-79.7576904296875,-74.853515625,-69.78759765625
126.24042624042623,-98.2879638671875,-79.7637939453125,-74.8779296875,-69.7845458984375
126.27372627372625,-98.284912109375,-79.8065185546875,-74.8199462890625,-69.68994140625
126.30702630702629,-98.248291015625,-79.7210693359375,-74.81689453125,-69.6746826171875
